algo_name,done,graph,init_bots,init_locations,parameters,priority_nodes,random_string,sim_length,use_sim_time,avg_idle,priority_avg_idle,non_priority_avg_idle,max_idle,priority_max_idle,non_priority_max_idle,avg_ratio
ppa_basic,False,cair,3,1563324353 1563324349 1563324344,100 0,1563324353 1154147728 1563324344 1563324349 414035791 1563324336,ppa_basic_100_0_103,20000,True,118.96878645468786,74.80563610305637,141.05036163050363,1187,408,1187,2.078910513878808
ppa_basic,False,grid_5_5,1,6,100 5,6 15 24 0 11 17,ppa_basic_100_5_93,20000,True,246.50951232931524,203.1560879641208,260.20006739200824,1124,780,1124,1.347199626684057
ppa_basic,False,iitb,4,3215340464 668685374 2055461156 -266,100 0,2055461156 668685374 3215340464 -266,ppa_basic_100_0_34,20000,True,202.34896250166733,96.0906112444978,223.6006327531012,2465,521,2465,2.868856164003725
ppa_basic,False,grid_5_5,3,2 17 4,100 5,4 17 2 22,ppa_basic_100_5_25,20000,True,113.0479,84.45555,118.49406190476188,635,420,635,1.671214505960665
ppa_basic,False,grid_5_5,3,4 2 15,100 0,24 10 4 12 2 15,ppa_basic_100_0_71,20000,True,120.56474542362707,87.01385415624688,131.15976371858926,1109,486,1109,1.6286274054607752
ppa_basic,False,grid_5_5,3,4 2 15,100 5,24 10 4 12 2 15,ppa_basic_100_5_71,20000,True,110.57087145642718,95.90737963101844,115.20144782234571,610,519,610,1.3012293684493368
ppa_basic,False,cair,1,1563324343,100 0,1154147728 1563324357 1154147727 cluster_1563324333_1563324337 1563324343,ppa_basic_100_0_78,20000,True,398.35515317238,161.49460784313726,489.4553629143966,3569,648,3569,3.620773781713203
ppa_basic,False,iitb,1,667357382,100 5,667357419 667357382 4369058864 2055461156,ppa_basic_100_5_44,20000,True,429.8038673802854,351.5060274109644,445.4634353741496,2123,1327,2123,1.3841367962810558
ppa_basic,False,cair,1,1563324324,100 0,1563324357 1563324324 1563324327 cluster_1563324010_1563324356,ppa_basic_100_0_49,20000,True,335.2424818296992,124.94576415283056,395.32725830880463,3236,438,3236,3.311735013432003
ppa_basic,False,cair,1,1563324353,100 5,1563324353 1154147728 1563324344 1563324349 414035791 1563324336,ppa_basic_100_5_89,20000,True,191.4630592640743,196.1938930279848,189.09764238211912,996,794,996,1.0342017583682312
ppa_basic,False,iitb,2,667357382 3215340463,100 0,4369058864 5366445083 3215340463 667357382 -266,ppa_basic_100_0_17,20000,True,470.2579100211656,116.3627618619069,563.388212168339,5321,631,5321,5.680775724175684
ppa_basic,False,cair,3,1563324349 1563324324 1563324327,100 5,cluster_1563324004_1563324334 1563324327 1563324343 1563324348 1563324324 1563324349,ppa_basic_100_5_70,20000,True,93.65789210539474,57.38071429761845,111.79648100928286,764,430,764,2.164859906137908
